Player,Team,Year,Height,Weight,40 Time,Pick,Teammate,Teammate Year,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Teammate Tm,Teammate Age,Teammate Pos,Teammate G,Teammate GS,Teammate Tgt,Teammate Rec,Teammate Yds,Teammate Y/R,Teammate TD,Teammate 1D,Teammate Lng,Teammate Y/Tgt,Teammate R/G,Teammate Y/G,Teammate Fmb,Total FP,FPPG
Damion Ratley,CLE,2018,74,200,4.45,175,David Njoku,2017,CLE,23,WR,13,3,20,13,144,11.1,0,5,27,7.2,1,11.1,0,CLE,21,TE,16,5,60,32,386,12.1,4,17,34,6.4,2,24.1,0,27.4,2.107692308
Deon Cain,IND,2018,74,202,4.43,185,T.Y. Hilton,2017,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IND,28,WR,16,16,109,57,966,16.9,4,38,80,8.9,3.6,60.4,2,0,0
Ray-Ray McCloud,BUF,2018,69,190,4.53,187,Kelvin Benjamin,2017,BUF,22,WR,10,1,6,5,36,7.2,0,2,16,6,0.5,3.6,2,2TM,26,WR,14,14,78,48,692,14.4,3,0,43,8.9,3.4,49.4,0,4.6,0.46
Dylan Cantrell,LAC,2018,75,226,4.59,191,Mike Williams,2017,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,23,WR,10,1,23,11,95,8.6,0,7,20,4.1,1.1,9.5,0,0,0
Russell Gage,ATL,2018,72,184,4.42,194,Julio Jones,2017,ATL,22,WR,15,0,10,6,63,10.5,0,2,22,6.3,0.4,4.2,0,ATL,28,WR,16,16,148,88,1444,16.4,3,67,53,9.8,5.5,90.3,0,12.3,0.82
Equanimeous St. Brown,GB,2018,77,214,4.48,207,Davante Adams,2017,GNB,22,WR,12,7,36,21,328,15.6,0,13,54,9.1,1.8,27.3,0,GNB,25,WR,14,14,117,74,885,12,10,46,55,7.6,5.3,63.2,0,53.8,4.483333333
Cedrick Wilson,DAL,2018,74,197,4.55,208,Amari Cooper,2017,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OAK,23,WR,14,12,96,48,680,14.2,7,28,87,7.1,3.4,48.6,1,0,0
Braxton Berrios,NE,2018,69,190,4.44,210,Julian Edelman,2017,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javon Wims,CHI,2018,75,215,4.53,224,Allen Robinson II,2017,CHI,24,WR,4,0,5,4,32,8,0,2,16,6.4,1,8,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,1.8
Marcell Ateman,OAK,2018,76,216,4.62,228,Jordy Nelson,2017,OAK,24,WR,7,6,31,15,154,10.3,1,7,32,5,2.1,22,0,GNB,32,WR,15,15,88,53,482,9.1,6,38,58,5.5,3.5,32.1,0,36.4,5.2
Richie James,SF,2018,69,185,4.48,240,George Kittle,2017,SFO,23,WR,13,2,14,9,130,14.4,1,4,53,9.3,0.7,10,2,SFO,24,TE,15,7,63,43,515,12,2,24,44,8.2,2.9,34.3,0,24,1.846153846
Auden Tate,CIN,2018,77,228,4.68,253,A.J. Green,2017,CIN,21,WR,7,0,12,4,35,8.8,0,2,15,2.9,0.6,5,0,CIN,29,WR,16,16,143,75,1078,14.4,8,55,77,7.5,4.7,67.4,2,7.5,1.071428571
Austin Proehl,BUF,2018,70,186,4.41,255,Zay Jones,2017,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUF,22,WR,15,10,74,27,316,11.7,2,19,33,4.3,1.8,21.1,0,0,0
Trey Quinn,WAS,2018,72,203,4.55,256,Josh Doctson,2017,WAS,23,WR,3,2,10,9,75,8.3,1,5,15,7.5,3,25,0,WAS,25,WR,16,14,78,35,502,14.3,6,25,52,6.4,2.2,31.4,0,22.5,7.5
Corey Davis,TEN,2017,75,209,4.53,5,Rishard Matthews,2016,TEN,22,WR,11,9,65,34,375,11,0,17,37,5.8,3.1,34.1,1,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,6.318181818
Mike Williams,LAC,2017,76,218,4.5,7,Keenan Allen,2016,LAC,23,WR,10,1,23,11,95,8.6,0,7,20,4.1,1.1,9.5,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,2.05
John Ross,CIN,2017,71,188,4.22,9,A.J. Green,2016,CIN,22,WR,3,1,2,0,0,0,0,0,0,0,0,0,1,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-0.666666667
Zay Jones,BUF,2017,74,201,4.45,37,Charles Clay,2016,BUF,22,WR,15,10,74,27,316,11.7,2,19,33,4.3,1.8,21.1,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.6,4.706666667
Curtis Samuel,CAR,2017,71,196,4.31,40,Greg Olsen,2016,CAR,21,WR,9,4,26,15,115,7.7,0,6,23,4.4,1.7,12.8,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5,2.944444444
JuJu Smith-Schuster,PIT,2017,73,215,4.54,62,Antonio Brown,2016,PIT,21,WR,14,7,79,58,917,15.8,7,37,97,11.6,4.1,65.5,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.7,13.69285714
Cooper Kupp,LAR,2017,74,208,4.62,69,Kenny Britt,2016,LAR,24,WR,15,6,94,62,869,14,5,42,64,9.2,4.1,57.9,1,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.9,11.79333333
Taywan Taylor,TEN,2017,71,203,4.5,72,Rishard Matthews,2016,TEN,22,WR,16,4,28,16,231,14.4,1,9,53,8.3,1,14.4,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.1,2.81875
ArDarius Stewart,NYJ,2017,71,204,4.49,79,Jermaine Kearse,2016,NYJ,24,WR,15,2,13,6,82,13.7,0,2,46,6.3,0.4,5.5,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,0.946666667
Carlos Henderson,DEN,2017,71,199,4.46,82,Emmanuel Sanders,2016,0,22.41216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56647399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
